participant,block,trial,screenID,setsize,nTarget,nDistractor,layout,colorCon,radius,cueType,cueColor,condition,ratio,correct,acc,RT
20,0,30,cue,10,4,6,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,30,judge,10,4,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,1865
20,0,31,cue,8,6,2,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,31,judge,8,6,2,intermixed,random,large,color,NA,negative,even,arrowup,1,1852
20,0,32,cue,8,2,6,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,32,judge,8,2,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1141
20,0,33,cue,4,2,2,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,33,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowdown,1,1441
20,0,34,cue,8,2,6,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,34,judge,8,2,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1398
20,0,35,cue,10,4,6,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
20,0,35,judge,10,4,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,2695
20,0,36,cue,10,4,6,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,36,judge,10,4,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1848
20,0,37,cue,6,2,4,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,37,judge,6,2,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1127
20,0,38,cue,12,6,6,intermixed,random,large,color,#0eaaaa,negative,even,NA,NA,NA
20,0,38,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowup,1,2071
20,0,39,cue,8,2,6,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,39,judge,8,2,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1278
20,0,40,cue,10,6,4,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,40,judge,10,6,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,2750
20,0,41,cue,10,4,6,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,41,judge,10,4,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,1631
20,0,42,cue,8,4,4,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
20,0,42,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1348
20,0,43,cue,10,4,6,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
20,0,43,judge,10,4,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1406
20,0,44,cue,10,4,6,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,44,judge,10,4,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,1356
20,0,45,cue,10,6,4,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
20,0,45,judge,10,6,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,1086
20,0,46,cue,10,6,4,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
20,0,46,judge,10,6,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,3512
20,0,47,cue,8,4,4,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
20,0,47,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,2186
