participant,block,trial,screenID,setsize,nTarget,nDistractor,layout,colorCon,radius,cueType,cueColor,condition,ratio,correct,acc,RT
1,0,0,cue,12,6,6,intermixed,switch,large,color,#0eaaaa,neutral,even,NA,NA,NA
1,0,0,judge,12,6,6,intermixed,switch,large,color,NA,neutral,even,arrowdown,1,2968
1,0,1,cue,12,6,6,intermixed,switch,large,color,#ecb718,neutral,even,NA,NA,NA
1,0,1,judge,12,6,6,intermixed,switch,large,color,NA,neutral,even,arrowdown,1,979
1,0,2,cue,12,6,6,intermixed,switch,large,color,#e21212,negative,even,NA,NA,NA
1,0,2,judge,12,6,6,intermixed,switch,large,color,NA,negative,even,arrowup,1,1740
1,0,3,cue,12,6,6,intermixed,switch,large,color,#e21212,positive,even,NA,NA,NA
1,0,3,judge,12,6,6,intermixed,switch,large,color,NA,positive,even,arrowup,1,1600
1,0,4,cue,12,6,6,intermixed,switch,large,color,#52970c,positive,even,NA,NA,NA
1,0,4,judge,12,6,6,intermixed,switch,large,color,NA,positive,even,arrowup,1,1764
1,0,5,cue,12,6,6,intermixed,switch,large,color,#e21212,negative,even,NA,NA,NA
1,0,5,judge,12,6,6,intermixed,switch,large,color,NA,negative,even,arrowdown,1,4350
1,0,6,cue,12,6,6,intermixed,switch,large,color,#52970c,negative,even,NA,NA,NA
1,0,6,judge,12,6,6,intermixed,switch,large,color,NA,negative,even,arrowup,1,1507
1,0,7,cue,12,6,6,intermixed,switch,large,color,#e21212,negative,even,NA,NA,NA
1,0,7,judge,12,6,6,intermixed,switch,large,color,NA,negative,even,arrowdown,0,1847
1,0,8,cue,12,6,6,intermixed,switch,large,color,#52970c,positive,even,NA,NA,NA
1,0,8,judge,12,6,6,intermixed,switch,large,color,NA,positive,even,arrowdown,1,923
1,0,9,cue,12,6,6,intermixed,switch,large,color,#e713b2,neutral,even,NA,NA,NA
1,0,9,judge,12,6,6,intermixed,switch,large,color,NA,neutral,even,arrowup,1,5321
1,0,10,cue,12,6,6,intermixed,switch,large,color,#e21212,negative,even,NA,NA,NA
1,0,10,judge,12,6,6,intermixed,switch,large,color,NA,negative,even,arrowup,1,1191
1,0,11,cue,12,6,6,intermixed,switch,large,color,#0eaaaa,neutral,even,NA,NA,NA
1,0,11,judge,12,6,6,intermixed,switch,large,color,NA,neutral,even,arrowup,1,1075
1,0,12,cue,12,6,6,intermixed,switch,large,color,#e21212,negative,even,NA,NA,NA
1,0,12,judge,12,6,6,intermixed,switch,large,color,NA,negative,even,arrowup,1,1472
1,0,13,cue,12,6,6,intermixed,switch,large,color,#660fbd,neutral,even,NA,NA,NA
1,0,13,judge,12,6,6,intermixed,switch,large,color,NA,neutral,even,arrowup,1,1668
1,0,14,cue,12,6,6,intermixed,switch,large,color,#e713b2,neutral,even,NA,NA,NA
1,0,14,judge,12,6,6,intermixed,switch,large,color,NA,neutral,even,arrowup,1,848
1,0,15,cue,12,6,6,intermixed,switch,large,color,#e21212,positive,even,NA,NA,NA
1,0,15,judge,12,6,6,intermixed,switch,large,color,NA,positive,even,arrowdown,1,1690
1,0,16,cue,12,6,6,intermixed,switch,large,color,#52970c,positive,even,NA,NA,NA
1,0,16,judge,12,6,6,intermixed,switch,large,color,NA,positive,even,arrowdown,1,2296
1,0,17,cue,12,6,6,intermixed,switch,large,color,#e21212,negative,even,NA,NA,NA
1,0,17,judge,12,6,6,intermixed,switch,large,color,NA,negative,even,arrowdown,1,2350
1,0,18,cue,12,6,6,intermixed,switch,large,color,#e21212,negative,even,NA,NA,NA
1,0,18,judge,12,6,6,intermixed,switch,large,color,NA,negative,even,arrowdown,1,1171
1,0,19,cue,12,6,6,intermixed,switch,large,color,#e21212,positive,even,NA,NA,NA
1,0,19,judge,12,6,6,intermixed,switch,large,color,NA,positive,even,arrowdown,1,1583
1,0,20,cue,12,6,6,intermixed,switch,large,color,#52970c,negative,even,NA,NA,NA
1,0,20,judge,12,6,6,intermixed,switch,large,color,NA,negative,even,arrowup,1,1923
1,0,21,cue,12,6,6,intermixed,switch,large,color,#52970c,positive,even,NA,NA,NA
1,0,21,judge,12,6,6,intermixed,switch,large,color,NA,positive,even,arrowdown,1,1304
1,0,22,cue,12,6,6,intermixed,switch,large,color,#52970c,positive,even,NA,NA,NA
1,0,22,judge,12,6,6,intermixed,switch,large,color,NA,positive,even,arrowup,1,1716
