participant,block,trial,screenID,setsize,nTarget,nDistractor,layout,colorCon,radius,cueType,cueColor,condition,ratio,correct,acc,RT
1,0,0,cue,8,4,4,intermixed,random,large,color,#660fbd,negative,even,NA,NA,NA
1,0,0,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1011
1,0,1,cue,4,2,2,separated,random,large,color,#52970c,negative,even,NA,NA,NA
1,0,1,judge,4,2,2,separated,random,large,color,NA,negative,even,arrowdown,1,992
1,0,2,cue,8,4,4,separated,random,large,color,#2b5bee,negative,even,NA,NA,NA
1,0,2,judge,8,4,4,separated,random,large,color,NA,negative,even,arrowup,1,880
1,0,3,cue,8,4,4,separated,random,large,color,#52970c,negative,even,NA,NA,NA
1,0,3,judge,8,4,4,separated,random,large,color,NA,negative,even,arrowdown,1,1399
1,0,4,cue,4,2,2,separated,random,large,color,#ecb718,negative,even,NA,NA,NA
1,0,4,judge,4,2,2,separated,random,large,color,NA,negative,even,arrowup,1,730
1,0,5,cue,4,2,2,separated,random,large,color,#52970c,negative,even,NA,NA,NA
1,0,5,judge,4,2,2,separated,random,large,color,NA,negative,even,arrowup,1,860
1,0,6,cue,12,6,6,separated,random,large,color,#2b5bee,negative,even,NA,NA,NA
1,0,6,judge,12,6,6,separated,random,large,color,NA,negative,even,arrowdown,1,1919
1,0,7,cue,8,4,4,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
1,0,7,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowup,1,1682
1,0,8,cue,12,6,6,separated,random,large,color,#ecb718,negative,even,NA,NA,NA
1,0,8,judge,12,6,6,separated,random,large,color,NA,negative,even,arrowdown,1,1140
1,0,9,cue,4,2,2,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
1,0,9,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowup,1,957
1,0,10,cue,12,6,6,separated,random,large,color,#0eaaaa,negative,even,NA,NA,NA
1,0,10,judge,12,6,6,separated,random,large,color,NA,negative,even,arrowdown,1,1031
1,0,11,cue,4,2,2,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
1,0,11,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowup,1,1017
1,0,12,cue,4,2,2,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
1,0,12,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowup,1,1213
1,0,13,cue,8,4,4,separated,random,large,color,#ecb718,negative,even,NA,NA,NA
1,0,13,judge,8,4,4,separated,random,large,color,NA,negative,even,arrowdown,1,844
1,0,14,cue,12,6,6,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
1,0,14,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1728
1,0,15,cue,4,2,2,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
1,0,15,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowup,1,810
1,0,16,cue,12,6,6,intermixed,random,large,color,#ecb718,negative,even,NA,NA,NA
1,0,16,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,1924
1,0,17,cue,4,2,2,separated,random,large,color,#52970c,negative,even,NA,NA,NA
1,0,17,judge,4,2,2,separated,random,large,color,NA,negative,even,arrowup,1,735
1,0,18,cue,4,2,2,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
1,0,18,judge,4,2,2,intermixed,random,large,color,NA,negative,even,arrowup,1,857
1,0,19,cue,12,6,6,separated,random,large,color,#2b5bee,negative,even,NA,NA,NA
1,0,19,judge,12,6,6,separated,random,large,color,NA,negative,even,arrowup,1,1342
1,0,20,cue,12,6,6,separated,random,large,color,#660fbd,negative,even,NA,NA,NA
1,0,20,judge,12,6,6,separated,random,large,color,NA,negative,even,arrowup,1,1697
1,0,21,cue,8,4,4,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
1,0,21,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowup,1,868
1,0,22,cue,8,4,4,intermixed,random,large,color,#e21212,negative,even,NA,NA,NA
1,0,22,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,1074
1,0,23,cue,12,6,6,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
1,0,23,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowup,1,1015
1,0,24,cue,8,4,4,separated,random,large,color,#e713b2,negative,even,NA,NA,NA
1,0,24,judge,8,4,4,separated,random,large,color,NA,negative,even,arrowdown,1,1256
1,0,25,cue,8,4,4,separated,random,large,color,#ecb718,negative,even,NA,NA,NA
1,0,25,judge,8,4,4,separated,random,large,color,NA,negative,even,arrowup,1,854
1,0,26,cue,12,6,6,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
1,0,26,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,1368
1,0,27,cue,4,2,2,separated,random,large,color,#ecb718,negative,even,NA,NA,NA
1,0,27,judge,4,2,2,separated,random,large,color,NA,negative,even,arrowup,1,873
1,0,28,cue,8,4,4,intermixed,random,large,color,#e713b2,negative,even,NA,NA,NA
1,0,28,judge,8,4,4,intermixed,random,large,color,NA,negative,even,arrowdown,1,1504
1,0,29,cue,12,6,6,intermixed,random,large,color,#52970c,negative,even,NA,NA,NA
1,0,29,judge,12,6,6,intermixed,random,large,color,NA,negative,even,arrowdown,1,1157
1,1,0,cue,8,4,4,separated,random,large,color,#2b5bee,neutral,even,NA,NA,NA
1,1,0,judge,8,4,4,separated,random,large,color,NA,neutral,even,arrowdown,1,935
1,1,1,cue,4,2,2,separated,random,large,color,#2b5bee,neutral,even,NA,NA,NA
1,1,1,judge,4,2,2,separated,random,large,color,NA,neutral,even,arrowup,1,1073
1,1,2,cue,4,2,2,intermixed,random,large,color,#ecb718,neutral,even,NA,NA,NA
1,1,2,judge,4,2,2,intermixed,random,large,color,NA,neutral,even,arrowdown,1,926
1,1,3,cue,4,2,2,intermixed,random,large,color,#52970c,neutral,even,NA,NA,NA
1,1,3,judge,4,2,2,intermixed,random,large,color,NA,neutral,even,arrowdown,1,1562
1,1,4,cue,8,4,4,separated,random,large,color,#660fbd,neutral,even,NA,NA,NA
1,1,4,judge,8,4,4,separated,random,large,color,NA,neutral,even,arrowup,1,1174
1,1,5,cue,8,4,4,intermixed,random,large,color,#e713b2,neutral,even,NA,NA,NA
1,1,5,judge,8,4,4,intermixed,random,large,color,NA,neutral,even,arrowdown,1,786
1,1,6,cue,8,4,4,separated,random,large,color,#660fbd,neutral,even,NA,NA,NA
1,1,6,judge,8,4,4,separated,random,large,color,NA,neutral,even,arrowup,1,1791
1,1,7,cue,4,2,2,intermixed,random,large,color,#ecb718,neutral,even,NA,NA,NA
1,1,7,judge,4,2,2,intermixed,random,large,color,NA,neutral,even,arrowdown,1,782
1,1,8,cue,12,6,6,intermixed,random,large,color,#e21212,neutral,even,NA,NA,NA
1,1,8,judge,12,6,6,intermixed,random,large,color,NA,neutral,even,arrowdown,1,1970
1,1,9,cue,8,4,4,separated,random,large,color,#2b5bee,neutral,even,NA,NA,NA
1,1,9,judge,8,4,4,separated,random,large,color,NA,neutral,even,arrowdown,1,2482
1,1,10,cue,12,6,6,separated,random,large,color,#52970c,neutral,even,NA,NA,NA
1,1,10,judge,12,6,6,separated,random,large,color,NA,neutral,even,arrowup,1,1153
1,1,11,cue,4,2,2,intermixed,random,large,color,#52970c,neutral,even,NA,NA,NA
1,1,11,judge,4,2,2,intermixed,random,large,color,NA,neutral,even,arrowup,1,1301
1,1,12,cue,8,4,4,intermixed,random,large,color,#ecb718,neutral,even,NA,NA,NA
1,1,12,judge,8,4,4,intermixed,random,large,color,NA,neutral,even,arrowup,1,1803
1,1,13,cue,8,4,4,separated,random,large,color,#ecb718,neutral,even,NA,NA,NA
1,1,13,judge,8,4,4,separated,random,large,color,NA,neutral,even,arrowup,1,1466
1,1,14,cue,12,6,6,separated,random,large,color,#660fbd,neutral,even,NA,NA,NA
1,1,14,judge,12,6,6,separated,random,large,color,NA,neutral,even,arrowdown,1,2464
1,1,15,cue,12,6,6,intermixed,random,large,color,#e713b2,neutral,even,NA,NA,NA
1,1,15,judge,12,6,6,intermixed,random,large,color,NA,neutral,even,arrowdown,1,895
1,1,16,cue,12,6,6,separated,random,large,color,#e713b2,neutral,even,NA,NA,NA
1,1,16,judge,12,6,6,separated,random,large,color,NA,neutral,even,arrowup,1,776
1,1,17,cue,4,2,2,separated,random,large,color,#2b5bee,neutral,even,NA,NA,NA
1,1,17,judge,4,2,2,separated,random,large,color,NA,neutral,even,arrowdown,1,721
1,1,18,cue,12,6,6,separated,random,large,color,#660fbd,neutral,even,NA,NA,NA
1,1,18,judge,12,6,6,separated,random,large,color,NA,neutral,even,arrowdown,1,1490
1,1,19,cue,12,6,6,intermixed,random,large,color,#52970c,neutral,even,NA,NA,NA
1,1,19,judge,12,6,6,intermixed,random,large,color,NA,neutral,even,arrowdown,1,2134
1,1,20,cue,8,4,4,intermixed,random,large,color,#52970c,neutral,even,NA,NA,NA
1,1,20,judge,8,4,4,intermixed,random,large,color,NA,neutral,even,arrowdown,1,2230
1,1,21,cue,8,4,4,intermixed,random,large,color,#52970c,neutral,even,NA,NA,NA
1,1,21,judge,8,4,4,intermixed,random,large,color,NA,neutral,even,arrowup,1,1022
1,1,22,cue,4,2,2,separated,random,large,color,#e713b2,neutral,even,NA,NA,NA
1,1,22,judge,4,2,2,separated,random,large,color,NA,neutral,even,arrowdown,1,752
1,1,23,cue,12,6,6,intermixed,random,large,color,#0eaaaa,neutral,even,NA,NA,NA
1,1,23,judge,12,6,6,intermixed,random,large,color,NA,neutral,even,arrowup,1,2611
1,1,24,cue,4,2,2,separated,random,large,color,#e21212,neutral,even,NA,NA,NA
1,1,24,judge,4,2,2,separated,random,large,color,NA,neutral,even,arrowup,1,1456
1,1,25,cue,4,2,2,intermixed,random,large,color,#ecb718,neutral,even,NA,NA,NA
1,1,25,judge,4,2,2,intermixed,random,large,color,NA,neutral,even,arrowdown,1,965
1,1,26,cue,12,6,6,intermixed,random,large,color,#e21212,neutral,even,NA,NA,NA
1,1,26,judge,12,6,6,intermixed,random,large,color,NA,neutral,even,arrowup,1,1354
1,1,27,cue,12,6,6,separated,random,large,color,#660fbd,neutral,even,NA,NA,NA
1,1,27,judge,12,6,6,separated,random,large,color,NA,neutral,even,arrowup,1,2687
1,1,28,cue,8,4,4,intermixed,random,large,color,#e21212,neutral,even,NA,NA,NA
1,1,28,judge,8,4,4,intermixed,random,large,color,NA,neutral,even,arrowdown,1,2069
1,1,29,cue,4,2,2,separated,random,large,color,#2b5bee,neutral,even,NA,NA,NA
1,1,29,judge,4,2,2,separated,random,large,color,NA,neutral,even,arrowup,1,1322
1,2,0,cue,8,4,4,intermixed,random,large,color,#ecb718,positive,even,NA,NA,NA
1,2,0,judge,8,4,4,intermixed,random,large,color,NA,positive,even,arrowup,1,812
1,2,1,cue,8,4,4,intermixed,random,large,color,#2b5bee,positive,even,NA,NA,NA
1,2,1,judge,8,4,4,intermixed,random,large,color,NA,positive,even,arrowup,1,884
1,2,2,cue,8,4,4,separated,random,large,color,#e21212,positive,even,NA,NA,NA
1,2,2,judge,8,4,4,separated,random,large,color,NA,positive,even,arrowdown,1,1077
1,2,3,cue,4,2,2,intermixed,random,large,color,#660fbd,positive,even,NA,NA,NA
1,2,3,judge,4,2,2,intermixed,random,large,color,NA,positive,even,arrowup,1,635
1,2,4,cue,4,2,2,separated,random,large,color,#0eaaaa,positive,even,NA,NA,NA
1,2,4,judge,4,2,2,separated,random,large,color,NA,positive,even,arrowdown,1,858
1,2,5,cue,12,6,6,separated,random,large,color,#ecb718,positive,even,NA,NA,NA
1,2,5,judge,12,6,6,separated,random,large,color,NA,positive,even,arrowup,1,1693
1,2,6,cue,8,4,4,separated,random,large,color,#e21212,positive,even,NA,NA,NA
1,2,6,judge,8,4,4,separated,random,large,color,NA,positive,even,arrowup,1,767
1,2,7,cue,8,4,4,separated,random,large,color,#660fbd,positive,even,NA,NA,NA
1,2,7,judge,8,4,4,separated,random,large,color,NA,positive,even,arrowdown,1,1151
1,2,8,cue,12,6,6,separated,random,large,color,#52970c,positive,even,NA,NA,NA
1,2,8,judge,12,6,6,separated,random,large,color,NA,positive,even,arrowdown,1,1010
1,2,9,cue,12,6,6,intermixed,random,large,color,#e21212,positive,even,NA,NA,NA
1,2,9,judge,12,6,6,intermixed,random,large,color,NA,positive,even,arrowdown,1,1369
1,2,10,cue,12,6,6,intermixed,random,large,color,#0eaaaa,positive,even,NA,NA,NA
1,2,10,judge,12,6,6,intermixed,random,large,color,NA,positive,even,arrowdown,1,1518
1,2,11,cue,4,2,2,separated,random,large,color,#2b5bee,positive,even,NA,NA,NA
1,2,11,judge,4,2,2,separated,random,large,color,NA,positive,even,arrowdown,1,700
1,2,12,cue,12,6,6,intermixed,random,large,color,#0eaaaa,positive,even,NA,NA,NA
1,2,12,judge,12,6,6,intermixed,random,large,color,NA,positive,even,arrowup,1,1662
1,2,13,cue,12,6,6,separated,random,large,color,#52970c,positive,even,NA,NA,NA
1,2,13,judge,12,6,6,separated,random,large,color,NA,positive,even,arrowdown,1,1079
1,2,14,cue,4,2,2,intermixed,random,large,color,#e21212,positive,even,NA,NA,NA
1,2,14,judge,4,2,2,intermixed,random,large,color,NA,positive,even,arrowdown,1,767
1,2,15,cue,8,4,4,intermixed,random,large,color,#660fbd,positive,even,NA,NA,NA
1,2,15,judge,8,4,4,intermixed,random,large,color,NA,positive,even,arrowdown,1,1144
1,2,16,cue,4,2,2,separated,random,large,color,#52970c,positive,even,NA,NA,NA
1,2,16,judge,4,2,2,separated,random,large,color,NA,positive,even,arrowup,1,927
1,2,17,cue,4,2,2,separated,random,large,color,#2b5bee,positive,even,NA,NA,NA
1,2,17,judge,4,2,2,separated,random,large,color,NA,positive,even,arrowup,0,868
1,2,18,cue,4,2,2,separated,random,large,color,#e713b2,positive,even,NA,NA,NA
1,2,18,judge,4,2,2,separated,random,large,color,NA,positive,even,arrowdown,1,926
1,2,19,cue,4,2,2,intermixed,random,large,color,#660fbd,positive,even,NA,NA,NA
1,2,19,judge,4,2,2,intermixed,random,large,color,NA,positive,even,arrowup,1,1087
1,2,20,cue,8,4,4,intermixed,random,large,color,#52970c,positive,even,NA,NA,NA
1,2,20,judge,8,4,4,intermixed,random,large,color,NA,positive,even,arrowdown,1,1411
1,2,21,cue,8,4,4,separated,random,large,color,#52970c,positive,even,NA,NA,NA
1,2,21,judge,8,4,4,separated,random,large,color,NA,positive,even,arrowdown,1,1411
1,2,22,cue,12,6,6,separated,random,large,color,#e21212,positive,even,NA,NA,NA
1,2,22,judge,12,6,6,separated,random,large,color,NA,positive,even,arrowdown,1,1655
1,2,23,cue,8,4,4,intermixed,random,large,color,#52970c,positive,even,NA,NA,NA
1,2,23,judge,8,4,4,intermixed,random,large,color,NA,positive,even,arrowdown,1,917
1,2,24,cue,12,6,6,separated,random,large,color,#660fbd,positive,even,NA,NA,NA
1,2,24,judge,12,6,6,separated,random,large,color,NA,positive,even,arrowdown,1,1139
1,2,25,cue,4,2,2,intermixed,random,large,color,#2b5bee,positive,even,NA,NA,NA
1,2,25,judge,4,2,2,intermixed,random,large,color,NA,positive,even,arrowdown,1,676
1,2,26,cue,8,4,4,separated,random,large,color,#0eaaaa,positive,even,NA,NA,NA
1,2,26,judge,8,4,4,separated,random,large,color,NA,positive,even,arrowup,1,1243
1,2,27,cue,4,2,2,intermixed,random,large,color,#52970c,positive,even,NA,NA,NA
1,2,27,judge,4,2,2,intermixed,random,large,color,NA,positive,even,arrowdown,1,680
1,2,28,cue,12,6,6,intermixed,random,large,color,#ecb718,positive,even,NA,NA,NA
1,2,28,judge,12,6,6,intermixed,random,large,color,NA,positive,even,arrowup,1,852
1,2,29,cue,12,6,6,intermixed,random,large,color,#ecb718,positive,even,NA,NA,NA
1,2,29,judge,12,6,6,intermixed,random,large,color,NA,positive,even,arrowup,1,1424
2,0,0,cue,4,2,2,separated,random,large,color,#ecb718,positive,even,NA,NA,NA
2,0,0,judge,4,2,2,separated,random,large,color,NA,positive,even,arrowup,1,1406
2,0,1,cue,12,6,6,separated,random,large,color,#660fbd,positive,even,NA,NA,NA
2,0,1,judge,12,6,6,separated,random,large,color,NA,positive,even,arrowdown,1,2615
2,0,2,cue,12,6,6,separated,random,large,color,#2b5bee,positive,even,NA,NA,NA
2,0,2,judge,12,6,6,separated,random,large,color,NA,positive,even,arrowdown,1,2094
2,0,3,cue,4,2,2,separated,random,large,color,#52970c,positive,even,NA,NA,NA
2,0,3,judge,4,2,2,separated,random,large,color,NA,positive,even,arrowdown,1,1004
2,0,4,cue,12,6,6,separated,random,large,color,#2b5bee,positive,even,NA,NA,NA
2,0,4,judge,12,6,6,separated,random,large,color,NA,positive,even,arrowup,1,1261
2,0,5,cue,4,2,2,intermixed,random,large,color,#2b5bee,positive,even,NA,NA,NA
2,0,5,judge,4,2,2,intermixed,random,large,color,NA,positive,even,arrowdown,1,894
2,0,6,cue,8,4,4,separated,random,large,color,#2b5bee,positive,even,NA,NA,NA
2,0,6,judge,8,4,4,separated,random,large,color,NA,positive,even,arrowdown,1,3242
2,0,7,cue,8,4,4,intermixed,random,large,color,#e21212,positive,even,NA,NA,NA
2,0,7,judge,8,4,4,intermixed,random,large,color,NA,positive,even,arrowdown,1,745
2,0,8,cue,8,4,4,intermixed,random,large,color,#0eaaaa,positive,even,NA,NA,NA
2,0,8,judge,8,4,4,intermixed,random,large,color,NA,positive,even,arrowup,1,1096
2,0,9,cue,8,4,4,intermixed,random,large,color,#ecb718,positive,even,NA,NA,NA
2,0,9,judge,8,4,4,intermixed,random,large,color,NA,positive,even,arrowup,1,1086
2,0,10,cue,12,6,6,intermixed,random,large,color,#ecb718,positive,even,NA,NA,NA
2,0,10,judge,12,6,6,intermixed,random,large,color,NA,positive,even,arrowdown,1,1907
2,0,11,cue,4,2,2,separated,random,large,color,#0eaaaa,positive,even,NA,NA,NA
2,0,11,judge,4,2,2,separated,random,large,color,NA,positive,even,arrowdown,1,792
2,0,12,cue,12,6,6,intermixed,random,large,color,#0eaaaa,positive,even,NA,NA,NA
2,0,12,judge,12,6,6,intermixed,random,large,color,NA,positive,even,arrowup,1,899
2,0,13,cue,4,2,2,separated,random,large,color,#e21212,positive,even,NA,NA,NA
2,0,13,judge,4,2,2,separated,random,large,color,NA,positive,even,arrowup,1,744
2,0,14,cue,8,4,4,separated,random,large,color,#660fbd,positive,even,NA,NA,NA
2,0,14,judge,8,4,4,separated,random,large,color,NA,positive,even,arrowdown,1,848
2,0,15,cue,4,2,2,intermixed,random,large,color,#0eaaaa,positive,even,NA,NA,NA
2,0,15,judge,4,2,2,intermixed,random,large,color,NA,positive,even,arrowdown,0,181
2,0,16,cue,8,4,4,separated,random,large,color,#660fbd,positive,even,NA,NA,NA
2,0,16,judge,8,4,4,separated,random,large,color,NA,positive,even,arrowdown,1,747
2,0,17,cue,4,2,2,separated,random,large,color,#e713b2,positive,even,NA,NA,NA
2,0,17,judge,4,2,2,separated,random,large,color,NA,positive,even,arrowup,1,883
2,0,18,cue,8,4,4,separated,random,large,color,#ecb718,positive,even,NA,NA,NA
2,0,18,judge,8,4,4,separated,random,large,color,NA,positive,even,arrowdown,1,690
2,0,19,cue,12,6,6,intermixed,random,large,color,#e21212,positive,even,NA,NA,NA
2,0,19,judge,12,6,6,intermixed,random,large,color,NA,positive,even,arrowup,1,1711
2,0,20,cue,4,2,2,intermixed,random,large,color,#e713b2,positive,even,NA,NA,NA
2,0,20,judge,4,2,2,intermixed,random,large,color,NA,positive,even,arrowdown,1,1432
2,0,21,cue,8,4,4,intermixed,random,large,color,#0eaaaa,positive,even,NA,NA,NA
2,0,21,judge,8,4,4,intermixed,random,large,color,NA,positive,even,arrowup,1,797
2,0,22,cue,8,4,4,separated,random,large,color,#2b5bee,positive,even,NA,NA,NA
2,0,22,judge,8,4,4,separated,random,large,color,NA,positive,even,arrowup,1,1203
2,0,23,cue,4,2,2,intermixed,random,large,color,#2b5bee,positive,even,NA,NA,NA
2,0,23,judge,4,2,2,intermixed,random,large,color,NA,positive,even,arrowup,1,914
2,0,24,cue,12,6,6,separated,random,large,color,#e21212,positive,even,NA,NA,NA
2,0,24,judge,12,6,6,separated,random,large,color,NA,positive,even,arrowup,1,1501
2,0,25,cue,8,4,4,intermixed,random,large,color,#ecb718,positive,even,NA,NA,NA
2,0,25,judge,8,4,4,intermixed,random,large,color,NA,positive,even,arrowup,1,1369
2,0,26,cue,12,6,6,intermixed,random,large,color,#ecb718,positive,even,NA,NA,NA
2,0,26,judge,12,6,6,intermixed,random,large,color,NA,positive,even,arrowup,1,1554
2,0,27,cue,12,6,6,separated,random,large,color,#2b5bee,positive,even,NA,NA,NA
2,0,27,judge,12,6,6,separated,random,large,color,NA,positive,even,arrowup,1,1267
2,0,28,cue,4,2,2,intermixed,random,large,color,#0eaaaa,positive,even,NA,NA,NA
2,0,28,judge,4,2,2,intermixed,random,large,color,NA,positive,even,arrowdown,1,1410
2,0,29,cue,12,6,6,intermixed,random,large,color,#2b5bee,positive,even,NA,NA,NA
2,0,29,judge,12,6,6,intermixed,random,large,color,NA,positive,even,arrowup,1,1836
2,1,0,cue,12,6,6,separated,random,large,color,#0eaaaa,neutral,even,NA,NA,NA
2,1,0,judge,12,6,6,separated,random,large,color,NA,neutral,even,arrowup,1,2392
2,1,1,cue,4,2,2,separated,random,large,color,#0eaaaa,neutral,even,NA,NA,NA
2,1,1,judge,4,2,2,separated,random,large,color,NA,neutral,even,arrowdown,1,1466
2,1,2,cue,4,2,2,intermixed,random,large,color,#2b5bee,neutral,even,NA,NA,NA
2,1,2,judge,4,2,2,intermixed,random,large,color,NA,neutral,even,arrowdown,1,1256
2,1,3,cue,4,2,2,separated,random,large,color,#e21212,neutral,even,NA,NA,NA
2,1,3,judge,4,2,2,separated,random,large,color,NA,neutral,even,arrowdown,1,928
2,1,4,cue,4,2,2,separated,random,large,color,#660fbd,neutral,even,NA,NA,NA
2,1,4,judge,4,2,2,separated,random,large,color,NA,neutral,even,arrowup,1,1046
2,1,5,cue,4,2,2,intermixed,random,large,color,#0eaaaa,neutral,even,NA,NA,NA
2,1,5,judge,4,2,2,intermixed,random,large,color,NA,neutral,even,arrowdown,1,1217
2,1,6,cue,4,2,2,separated,random,large,color,#2b5bee,neutral,even,NA,NA,NA
2,1,6,judge,4,2,2,separated,random,large,color,NA,neutral,even,arrowup,1,1536
2,1,7,cue,8,4,4,separated,random,large,color,#660fbd,neutral,even,NA,NA,NA
2,1,7,judge,8,4,4,separated,random,large,color,NA,neutral,even,arrowup,1,1230
2,1,8,cue,12,6,6,separated,random,large,color,#2b5bee,neutral,even,NA,NA,NA
2,1,8,judge,12,6,6,separated,random,large,color,NA,neutral,even,arrowdown,1,3469
2,1,9,cue,8,4,4,intermixed,random,large,color,#e21212,neutral,even,NA,NA,NA
2,1,9,judge,8,4,4,intermixed,random,large,color,NA,neutral,even,arrowup,1,2976
2,1,10,cue,12,6,6,intermixed,random,large,color,#660fbd,neutral,even,NA,NA,NA
2,1,10,judge,12,6,6,intermixed,random,large,color,NA,neutral,even,arrowup,1,2629
2,1,11,cue,8,4,4,separated,random,large,color,#e713b2,neutral,even,NA,NA,NA
2,1,11,judge,8,4,4,separated,random,large,color,NA,neutral,even,arrowup,1,1389
2,1,12,cue,8,4,4,separated,random,large,color,#e713b2,neutral,even,NA,NA,NA
2,1,12,judge,8,4,4,separated,random,large,color,NA,neutral,even,arrowdown,1,1737
2,1,13,cue,4,2,2,intermixed,random,large,color,#0eaaaa,neutral,even,NA,NA,NA
2,1,13,judge,4,2,2,intermixed,random,large,color,NA,neutral,even,arrowup,1,973
2,1,14,cue,12,6,6,intermixed,random,large,color,#2b5bee,neutral,even,NA,NA,NA
2,1,14,judge,12,6,6,intermixed,random,large,color,NA,neutral,even,arrowdown,1,1620
2,1,15,cue,12,6,6,separated,random,large,color,#e21212,neutral,even,NA,NA,NA
2,1,15,judge,12,6,6,separated,random,large,color,NA,neutral,even,arrowup,1,1274
2,1,16,cue,4,2,2,intermixed,random,large,color,#e713b2,neutral,even,NA,NA,NA
2,1,16,judge,4,2,2,intermixed,random,large,color,NA,neutral,even,arrowup,1,1441
2,1,17,cue,12,6,6,intermixed,random,large,color,#0eaaaa,neutral,even,NA,NA,NA
2,1,17,judge,12,6,6,intermixed,random,large,color,NA,neutral,even,arrowup,1,2948
2,1,18,cue,12,6,6,separated,random,large,color,#e713b2,neutral,even,NA,NA,NA
2,1,18,judge,12,6,6,separated,random,large,color,NA,neutral,even,arrowdown,1,2494
2,1,19,cue,8,4,4,intermixed,random,large,color,#2b5bee,neutral,even,NA,NA,NA
2,1,19,judge,8,4,4,intermixed,random,large,color,NA,neutral,even,arrowdown,1,2728
2,1,20,cue,8,4,4,intermixed,random,large,color,#e21212,neutral,even,NA,NA,NA
2,1,20,judge,8,4,4,intermixed,random,large,color,NA,neutral,even,arrowup,1,2849
2,1,21,cue,4,2,2,separated,random,large,color,#e713b2,neutral,even,NA,NA,NA
2,1,21,judge,4,2,2,separated,random,large,color,NA,neutral,even,arrowup,1,1106
2,1,22,cue,12,6,6,intermixed,random,large,color,#0eaaaa,neutral,even,NA,NA,NA
2,1,22,judge,12,6,6,intermixed,random,large,color,NA,neutral,even,arrowup,1,3056
2,1,23,cue,8,4,4,intermixed,random,large,color,#52970c,neutral,even,NA,NA,NA
2,1,23,judge,8,4,4,intermixed,random,large,color,NA,neutral,even,arrowdown,0,1515
2,1,24,cue,8,4,4,intermixed,random,large,color,#660fbd,neutral,even,NA,NA,NA
